: 6381
JULIET	By: 2
caught: 2
whipster: 1
breed: 5
necessity: 3
lusts,: 1
unperfectness: 1
wast: 11
deed--: 1
MERCUTIO	More: 1
channels: 1
wash: 1
instruct: 1
spoken.: 1
clamorous: 1
Goneril]: 1
hooks:: 1
me!: 24
lenders': 1
Verona!--How: 1
reward.: 1
sooty: 1
LAURENCE	Hold: 1
Exeunt: 1
ROMEO	Draw,: 1
there's: 24
service: 7
marry,: 7
sure:: 1
tired: 1
quicken: 1
	Noble: 1
nation,: 1
easy!: 1
master: 18
soundly.: 1
me,: 106
	[He: 7
bethought: 1
bitter: 9
speak,--such: 1
sure.: 2
CAPULET	As: 1
ALBANY	Fall,: 1
sweeting;: 2
	hear: 1
wisdom: 11
was,: 4
a-bed: 1
was.: 3
yet:: 4
foregone: 1
crawl: 1
all-licensed: 1
GLOUCESTER	Because: 1
peril: 1
Goneril.: 3
Goneril,: 3
LEAR	Do.: 1
coward: 2
Goneril!: 2
tree: 2
spoken?: 1
nations: 1
Goneril;: 1
idle: 6
endure: 8
sit'st: 1
ALBANY	O: 1
feeling: 4
	Leave: 3
old,: 6
old.: 2
both,: 5
well?: 5
	purse;: 1
well;: 14
well:: 10
heads,: 3
heads.: 1
	wantons,: 1
well,: 16
well.: 33
distress!: 1
door]: 1
wed,: 2
well!: 1
me?: 21
dozen: 2
counterfeit'st: 1
Then: 2
wholesome: 4
aboard;: 1
DESDEMONA	Alas: 2
gripe: 1
haste: 2
drunk.: 4
ache!: 1
instructs: 1
They: 5
join'd: 2
maid.: 1
drunk:: 1
What,: 19
detector!: 1
long;: 2
corn.: 1
men's: 8
wench;: 2
lion: 2
shall: 251
it: 458
object: 1
music,: 2
OSWALD	Madam,: 4
MONTANO	But: 1
fees,: 1
venial: 1
wench,: 2
mouth: 7
OSWALD	Why: 1
letter: 19
long,: 6
IAGO]: 11
wench!: 1
shalt: 22
known: 20
door!: 1
Unnatural,: 1
EMILIA	Dismiss: 1
grove: 1
LEAR	To: 3
door.: 2
misery!: 1
	would: 5
much--: 1
	ear-kissing: 1
EDMUND	Himself:: 1
	'The: 1
door?: 1
affair.: 1
came: 27
marvel: 2
Amen,: 1
incorporate: 2
cannot:: 1
Albany: 1
	You'll: 4
GLOUCESTER's: 1
LEAR	What: 6
father's.: 1
cannot,: 3
wedded:: 1
father's;: 1
Officers]: 1
father's?: 1
busy: 4
meeting]: 1
cousins: 1
haste?: 2
unrest.: 1
maids,: 1
theme: 1
repose,: 1
bliss: 2
stick'st: 1
rich: 14
mend: 3
haste,: 10
haste.: 4
maids?: 1
sunder: 1
lies:: 3
lies;: 1
	Montague's: 1
lies?: 1
falsehood,: 1
mouths: 3
	Gentleman: 1
terrors: 1
pocket: 2
gold;: 1
lies.: 1
Burgundy: 2
lies,: 3
altogether: 4
suspects,: 1
givest: 1
relish: 2
whit:: 1
	Escaped: 1
Senators: 1
skitless: 1
cousin?: 2
men:: 2
men;: 3
nicely: 1
Officers,: 2
them;: 4
them:: 3
sides,: 4
men,: 8
Moor,--: 1
men.: 5
	Being: 17
fitly: 2
them!: 2
KENT	Most: 1
them.: 20
them,: 18
boarded: 1
men!: 3
unspoke: 1
reason--: 1
fair: 61
our: 194
counsellor,: 1
OSWALD	Away!: 1
Montague,: 8
Montague.: 6
MERCUTIO	Nay,: 5
found--dispatch.: 1
sparkling: 1
	There's: 4
fail: 3
Montague;: 3
	portend: 1
RODERIGO	a: 1
best: 33
avert: 1
BRABANTIO	Why,: 1
estate.: 1
	Cassio: 2
estate,: 1
rings: 1
injuries: 3
adventure.: 1
KENT	To: 2
pit,: 1
scorn: 5
	Yields: 1
counsel: 7
preserve: 2
wage: 3
Rosaline:: 1
never: 72
extend: 2
Rosaline?: 1
ask: 16
	That,: 9
OTHELLO	Who's: 1
	impatience:: 1
	[Retiring]: 1
Here,: 1
JULIET	Tell: 1
	Exasperates,: 1
	REGAN,: 2
Man	Ay,: 1
reprieve.: 1
tyranny: 1
CAPULET	Tush,: 1
nicely.: 1
ring;: 1
	Happiness: 1
disdain: 1
country: 8
cup: 6
Blessed: 1
incense: 2
Laura: 1
propagate,: 1
through,: 1
ring,: 1
	Yield:: 1
hated: 1
stealth.: 1
stealth,: 1
ladies!: 1
	Succeeds: 1
nay,: 12
mortified: 1
doubt,: 4
ladies': 1
vain: 6
money.: 2
commands:: 1
money,: 1
	clovest: 1
position--who: 1
gardeners:: 1
contentious: 1
commands,: 1
	She's: 4
doubt;: 1
startles: 1
Kent's: 1
begone;: 1
parley: 1
useth: 1
Prithee,: 5
	France: 1
twain: 3
EDGAR	Give: 4
much: 75
KENT	What: 2
privilege: 1
mane,: 1
reasons:: 1
beach,: 1
ports,: 1
	natures: 1
	Approach,: 1
	Harbour: 1
eastern: 1
needed,: 1
lift: 2
dote: 2
nettles,: 1
descry.: 1
doth: 65
moe: 2
angry.: 2
gods.: 1
	Most: 9
rightly.: 1
employ: 1
gasted: 1
angry?: 5
hates: 3
prostrate: 1
wrought,: 1
vows: 2
money]: 1
spouse;: 1
build;: 1
either's: 1
to't: 3
trees,: 1
CAPULET	Go,: 2
said?: 1
said!: 1
'My: 1
to-morrow: 6
light,: 6
MERCUTIO	Right.: 1
levied: 1
south.: 1
V	Court: 1
said,: 6
bounteous: 1
top!: 1
IAGO	: 8
severity: 1
credit: 2
things: 20
	but: 4
watch--poor: 1
untuned: 1
please:: 2
split: 1
big: 4
passed.: 1
GONERIL	Did: 1
howbeit: 1
	very: 1
fairly: 1
	give: 1
verge:: 1
affirm,: 1
permit: 1
prison,: 5
	Cry: 2
exhales,: 1
supper: 4
mandragora,: 1
ROMEO	Wouldst: 1
white-upturned: 1
thing:: 3
alas!: 5
world--why,: 1
VENICE	The: 1
thing?: 3
intrusion: 1
OTHELLO	Behold,: 1
farmer's: 1
alas,: 3
conjured: 3
	like.: 1
replied,: 1
stillness: 1
coldness: 1
thing.: 6
differences:: 1
in't: 1
echoes: 1
	hanged,: 1
	Although: 2
in's: 2
	than: 2
cheerly,: 1
slave.: 2
MERCUTIO	This: 1
	thing;: 1
sleeps: 4
likedst: 1
TYBALT: 2
bush.: 1
disguise: 1
	wet: 1
	Mist-like,: 1
elder,: 1
GONERIL	Nay,: 1
hiss'd: 1
plight: 1
	that: 14
candle-holder,: 1
war;: 1
OTHELLO	Did: 1
there,: 17
swear'st,: 1
ease: 2
step,: 2
had: 99
gad!: 1
trimm'd: 1
wind-instruments?: 1
obedient: 2
innocent: 1
hap: 3
shoemaker: 1
east: 2
worse.: 2
Lord,: 4
cools,: 1
Lieutenant:: 1
GLOUCESTER	When: 1
man--: 1
	Couldst: 1
SAMPSON	Let: 1
hate,: 7
seeds,: 1
	brother's: 1
unproper: 1
possible: 1
DESDEMONA	Good: 1
sleep:: 4
Moor--: 1
birth: 2
ROMEO	Alas,: 1
sleep,: 4
shadow: 2
sleep.: 4
opinion.: 1
opinion,: 2
desire: 4
county: 4
'Certes,': 1
ha,: 8
	Behold,: 1
ha!: 8
enter:: 1
enter;: 1
ewe.: 1
ha': 2
suffers: 2
Knights,: 1
prologue: 2
faith'd?: 1
	slave,: 1
enter.: 1
OTHELLO	Not: 4
suborn'd: 1
right: 7
old: 71
deceived:: 2
OTHELLO	Nor: 2
people: 2
	Even: 13
hate!: 3
	But: 143
easy: 2
crown: 3
begin: 9
left:: 1
shake?: 1
crows: 1
sure: 16
submission!: 1
warring: 1
proclaim'd: 2
shake,: 1
enemies: 2
Never,: 1
haste-post-haste: 1
perchance: 4
	(Captain:): 1
for: 419
bottom: 2
bosom's: 1
inhuman: 1
fox: 1
plucked: 1
foe: 2
betimes: 1
IV	The: 2
serpents: 1
	Damn'd: 1
GLOUCESTER	O,: 3
bosom'd: 1
orb,: 1
	over-lusty: 1
shakes: 1
MERCUTIO	Well: 1
JULIET	: 1
	There: 11
Valentio: 1
crow.: 1
Nurse	Romeo: 1
crow,: 2
yoke: 1
undistinguish'd: 1
OTHELLO	No,: 3
CAPULET	Things: 1
Think: 1
First: 45
JULIET,: 2
Gentleman	None: 1
twain:: 1
sot,: 1
citizens: 3
	Dearer: 1
sovereignty,: 1
twain,: 1
cover'd: 2
excellent: 5
full-flowing: 1
ruffle;: 1
hear?--most: 1
slightly: 1
meddle: 1
match: 5
Use: 2
self-reproving:: 1
	times: 1
material: 1
nought: 6
meats;: 1
LAURENCE,: 1
son: 31
sop: 1
sow: 1
wrap: 1
meats,: 1
perfume.: 1
often: 8
array;: 1
	whipped: 1
despised: 4
support: 3
LAURENCE	: 1
Hang: 1
